,listing_id,year,month,days_per_month,available,occupied,occ_yr,occ%,occ_yr%,avg_price,neighborhood,zipcode,bedrooms,bathrooms,number_of_reviews,review_scores_rating,price,area,num_comp,revpar
0,5044,2015,1,30,0,30,269,100.0,73.7,175.0,East Village,10003,1,1.0,31.0,95.0,175,Manhattan,468,175.0
1,5044,2015,2,28,12,16,269,57.14,73.7,175.0,East Village,10003,1,1.0,31.0,95.0,175,Manhattan,468,99.995
2,5044,2015,3,31,3,28,269,90.32,73.7,175.0,East Village,10003,1,1.0,31.0,95.0,175,Manhattan,468,158.06
3,5044,2015,4,30,0,30,269,100.0,73.7,175.0,East Village,10003,1,1.0,31.0,95.0,175,Manhattan,468,175.0
4,5044,2015,5,31,7,24,269,77.42,73.7,175.0,East Village,10003,1,1.0,31.0,95.0,175,Manhattan,468,135.485
5,5044,2015,6,30,3,27,269,90.0,73.7,300.0,East Village,10003,1,1.0,31.0,95.0,175,Manhattan,468,270.0
6,5044,2015,7,31,12,19,269,61.29,73.7,300.0,East Village,10003,1,1.0,31.0,95.0,175,Manhattan,468,183.87
7,5044,2015,8,31,6,25,269,80.65,73.7,300.0,East Village,10003,1,1.0,31.0,95.0,175,Manhattan,468,241.95
8,5044,2015,9,30,1,29,269,96.67,73.7,175.0,East Village,10003,1,1.0,31.0,95.0,175,Manhattan,468,169.1725
9,5044,2015,10,31,0,31,269,100.0,73.7,175.0,East Village,10003,1,1.0,31.0,95.0,175,Manhattan,468,175.0
10,5044,2015,11,30,9,21,269,70.0,73.7,175.0,East Village,10003,1,1.0,31.0,95.0,175,Manhattan,468,122.5
11,5044,2015,12,31,12,19,269,61.29,73.7,175.0,East Village,10003,1,1.0,31.0,95.0,175,Manhattan,468,107.2575
12,18127,2015,1,30,2,28,265,93.33,72.6,170.0,East Village,10003,1,1.0,13.0,99.0,170,Manhattan,468,158.661
13,18127,2015,2,28,0,28,265,100.0,72.6,170.0,East Village,10003,1,1.0,13.0,99.0,170,Manhattan,468,170.0
14,18127,2015,3,31,0,31,265,100.0,72.6,170.0,East Village,10003,1,1.0,13.0,99.0,170,Manhattan,468,170.0
15,18127,2015,4,30,0,30,265,100.0,72.6,170.0,East Village,10003,1,1.0,13.0,99.0,170,Manhattan,468,170.0
16,18127,2015,5,31,0,31,265,100.0,72.6,170.0,East Village,10003,1,1.0,13.0,99.0,170,Manhattan,468,170.0
17,18127,2015,6,30,15,15,265,50.0,72.6,100.0,East Village,10003,1,1.0,13.0,99.0,170,Manhattan,468,50.0
18,18127,2015,7,31,31,0,265,0.0,72.6,190.0,East Village,10003,1,1.0,13.0,99.0,170,Manhattan,468,0.0
19,18127,2015,8,31,31,0,265,0.0,72.6,190.0,East Village,10003,1,1.0,13.0,99.0,170,Manhattan,468,0.0
20,18127,2015,9,30,4,26,265,86.67,72.6,190.0,East Village,10003,1,1.0,13.0,99.0,170,Manhattan,468,164.673
21,18127,2015,10,31,0,31,265,100.0,72.6,190.0,East Village,10003,1,1.0,13.0,99.0,170,Manhattan,468,190.0
22,18127,2015,11,30,5,25,265,83.33,72.6,190.0,East Village,10003,1,1.0,13.0,99.0,170,Manhattan,468,158.327
23,18127,2015,12,31,9,22,265,70.97,72.6,190.0,East Village,10003,1,1.0,13.0,99.0,170,Manhattan,468,134.843
24,25529,2015,1,30,22,8,284,26.67,77.81,120.0,East Village,10003,1,1.0,47.0,89.0,120,Manhattan,468,32.004
25,25529,2015,2,28,0,28,284,100.0,77.81,120.0,East Village,10003,1,1.0,47.0,89.0,120,Manhattan,468,120.0
26,25529,2015,3,31,0,31,284,100.0,77.81,140.0,East Village,10003,1,1.0,47.0,89.0,120,Manhattan,468,140.0
27,25529,2015,4,30,1,29,284,96.67,77.81,100.0,East Village,10003,1,1.0,47.0,89.0,120,Manhattan,468,96.67
28,25529,2015,5,31,0,31,284,100.0,77.81,140.0,East Village,10003,1,1.0,47.0,89.0,120,Manhattan,468,140.0
29,25529,2015,6,30,10,20,284,66.67,77.81,155.0,East Village,10003,1,1.0,47.0,89.0,120,Manhattan,468,103.3385
30,25529,2015,7,31,1,30,284,96.77,77.81,155.0,East Village,10003,1,1.0,47.0,89.0,120,Manhattan,468,149.9935
