,month,bedrooms,number_of_reviews,review_scores_rating,neighborhood,num_comp,occ%,avg_price
0,1,1,2,85,20,1140,100.0,150
1,2,1,2,85,20,1140,100.0,150
2,3,1,2,85,20,1140,100.0,150
3,4,1,2,85,20,1140,100.0,150
4,5,1,2,85,20,1140,70.97,150
5,6,1,2,85,20,1140,0.0,150
6,7,1,2,85,20,1140,0.0,150
7,8,1,2,85,20,1140,0.0,150
8,9,1,2,85,20,1140,0.0,150
9,10,1,2,85,20,1140,0.0,150
10,11,1,2,85,20,1140,0.0,150
11,12,1,2,85,20,1140,0.0,150
12,1,1,31,95,20,1140,100.0,175
13,2,1,31,95,20,1140,57.14,175
14,3,1,31,95,20,1140,90.32,175
15,4,1,31,95,20,1140,100.0,175
16,5,1,31,95,20,1140,77.42,175
17,6,1,31,95,20,1140,90.0,300
18,7,1,31,95,20,1140,61.29,300
19,8,1,31,95,20,1140,80.65,300
20,9,1,31,95,20,1140,96.67,175
21,10,1,31,95,20,1140,100.0,175
22,11,1,31,95,20,1140,70.0,175
23,12,1,31,95,20,1140,61.29,175
24,1,1,13,99,20,1140,93.33,170
25,2,1,13,99,20,1140,100.0,170
26,3,1,13,99,20,1140,100.0,170
27,4,1,13,99,20,1140,100.0,170
28,5,1,13,99,20,1140,100.0,170
29,6,1,13,99,20,1140,50.0,100
30,7,1,13,99,20,1140,0.0,190
31,8,1,13,99,20,1140,0.0,190
32,9,1,13,99,20,1140,86.67,190
33,10,1,13,99,20,1140,100.0,190
34,11,1,13,99,20,1140,83.33,190
35,12,1,13,99,20,1140,70.97,190
36,1,1,50,86,20,1140,3.33,200
37,2,1,50,86,20,1140,0.0,200
38,3,1,50,86,20,1140,3.23,200
39,4,1,50,86,20,1140,0.0,200
40,5,1,50,86,20,1140,0.0,200
41,6,1,50,86,20,1140,73.33,200
42,7,1,50,86,20,1140,6.45,200
43,8,1,50,86,20,1140,0.0,200
44,9,1,50,86,20,1140,80.0,200
45,10,1,50,86,20,1140,96.77,200
46,11,1,50,86,20,1140,80.0,200
47,12,1,50,86,20,1140,70.97,200
48,1,1,47,89,20,1140,26.67,120
49,2,1,47,89,20,1140,100.0,120
50,3,1,47,89,20,1140,100.0,140
51,4,1,47,89,20,1140,96.67,100
52,5,1,47,89,20,1140,100.0,140
53,6,1,47,89,20,1140,66.67,155
54,7,1,47,89,20,1140,96.77,155
55,8,1,47,89,20,1140,100.0,140
56,9,1,47,89,20,1140,73.33,140
57,10,1,47,89,20,1140,90.32,140
58,11,1,47,89,20,1140,76.67,140
59,12,1,47,89,20,1140,100.0,140
60,11,1,6,86,20,1140,3.33,150
61,1,1,107,92,20,1140,27.59,149
62,2,1,107,92,20,1140,28.57,149
63,3,1,107,92,20,1140,45.16,165
64,4,1,107,92,20,1140,83.33,165
65,5,1,107,92,20,1140,70.97,165
66,6,1,107,92,20,1140,80.0,165
67,7,1,107,92,20,1140,70.97,165
68,8,1,107,92,20,1140,77.42,165
69,9,1,107,92,20,1140,86.67,165
70,10,1,107,92,20,1140,96.77,165
71,11,1,107,92,20,1140,73.33,165
72,12,1,107,92,20,1140,77.42,165
73,1,1,47,97,20,1140,46.67,239
74,2,1,47,97,20,1140,100.0,239
75,3,1,47,97,20,1140,100.0,239
76,4,1,47,97,20,1140,100.0,239
77,5,1,47,97,20,1140,100.0,239
78,6,1,47,97,20,1140,100.0,239
79,7,1,47,97,20,1140,100.0,239
80,8,1,47,97,20,1140,3.23,239
81,9,1,47,97,20,1140,0.0,239
82,10,1,47,97,20,1140,0.0,239
83,11,1,47,97,20,1140,0.0,239
84,12,1,47,97,20,1140,0.0,239
85,1,1,89,83,20,1140,48.28,100
86,2,1,89,83,20,1140,25.0,100
87,3,1,89,83,20,1140,38.71,150
88,4,1,89,83,20,1140,86.67,150
89,5,1,89,83,20,1140,54.84,150
90,6,1,89,83,20,1140,83.33,150
91,7,1,89,83,20,1140,32.26,150
92,8,1,89,83,20,1140,54.84,150
93,9,1,89,83,20,1140,80.0,150
94,10,1,89,83,20,1140,96.77,150
95,11,1,89,83,20,1140,83.33,150
96,12,1,89,83,20,1140,61.29,150
97,1,1,3,93,20,1140,20.0,120
98,2,1,3,93,20,1140,0.0,131
99,3,1,3,93,20,1140,100.0,100
100,4,1,3,93,20,1140,100.0,100
101,5,1,3,93,20,1140,90.32,100
102,6,1,3,93,20,1140,90.0,100
103,7,1,3,93,20,1140,100.0,100
104,8,1,3,93,20,1140,100.0,100
105,9,1,3,93,20,1140,96.67,130
106,10,1,3,93,20,1140,96.77,130
107,11,1,3,93,20,1140,100.0,130
108,12,1,3,93,20,1140,87.1,130
109,1,1,61,95,20,1140,75.86,179
110,2,1,61,95,20,1140,50.0,80
111,3,1,61,95,20,1140,93.55,189
112,4,1,61,95,20,1140,100.0,189
113,5,1,61,95,20,1140,87.1,189
114,6,1,61,95,20,1140,83.33,189
115,7,1,61,95,20,1140,96.77,189
116,8,1,61,95,20,1140,70.97,189
117,9,1,61,95,20,1140,83.33,189
118,10,1,61,95,20,1140,90.32,189
119,11,1,61,95,20,1140,73.33,179
120,12,1,61,95,20,1140,83.87,179
121,1,1,25,90,20,1140,79.31,190
122,2,1,25,90,20,1140,100.0,200
123,3,1,25,90,20,1140,41.94,175
124,4,1,25,90,20,1140,90.0,185
125,5,1,25,90,20,1140,25.81,185
126,6,1,25,90,20,1140,90.0,200
127,7,1,25,90,20,1140,96.77,200
128,8,1,25,90,20,1140,0.0,200
129,9,1,25,90,20,1140,93.33,200
130,10,1,25,90,20,1140,100.0,200
131,11,1,25,90,20,1140,63.33,200
132,12,1,25,90,20,1140,100.0,200
133,1,1,33,93,20,1140,27.59,150
134,2,1,33,93,20,1140,0.0,150
135,3,1,33,93,20,1140,64.52,180
136,4,1,33,93,20,1140,53.33,180
137,5,1,33,93,20,1140,61.29,180
138,6,1,33,93,20,1140,96.67,249
139,7,1,33,93,20,1140,35.48,180
140,8,1,33,93,20,1140,0.0,249
141,9,1,33,93,20,1140,80.0,199
142,10,1,33,93,20,1140,93.55,249
143,11,1,33,93,20,1140,30.0,179
144,12,1,33,93,20,1140,0.0,221
145,1,1,102,94,20,1140,83.33,229
146,2,1,102,94,20,1140,0.0,149
147,3,1,102,94,20,1140,61.29,229
148,4,1,102,94,20,1140,76.67,229
149,5,1,102,94,20,1140,51.61,229
150,6,1,102,94,20,1140,80.0,229
151,7,1,102,94,20,1140,25.81,189
152,8,1,102,94,20,1140,9.68,204
153,9,1,102,94,20,1140,100.0,199
154,10,1,102,94,20,1140,93.55,229
155,11,1,102,94,20,1140,43.33,159
156,12,1,102,94,20,1140,32.26,169
157,1,1,85,97,20,1140,40.0,189
158,2,1,85,97,20,1140,0.0,195
159,3,1,85,97,20,1140,87.1,195
160,4,1,85,97,20,1140,26.67,195
161,5,1,85,97,20,1140,100.0,195
162,6,1,85,97,20,1140,96.67,195
163,7,1,85,97,20,1140,29.03,195
164,8,1,85,97,20,1140,80.65,195
165,9,1,85,97,20,1140,100.0,195
166,10,1,85,97,20,1140,96.77,195
167,11,1,85,97,20,1140,93.33,195
168,12,1,85,97,20,1140,93.55,195
169,1,1,70,86,20,1140,30.0,98
170,2,1,70,86,20,1140,21.43,98
171,3,1,70,86,20,1140,83.87,136
172,4,1,70,86,20,1140,90.0,136
173,5,1,70,86,20,1140,90.32,136
174,6,1,70,86,20,1140,90.0,136
175,7,1,70,86,20,1140,83.87,136
176,8,1,70,86,20,1140,67.74,136
177,9,1,70,86,20,1140,66.67,136
178,10,1,70,86,20,1140,96.77,136
179,11,1,70,86,20,1140,83.33,142
180,12,1,70,86,20,1140,87.1,142
181,1,1,111,78,20,1140,66.67,179
182,2,1,111,78,20,1140,14.29,99
183,3,1,111,78,20,1140,70.97,179
184,4,1,111,78,20,1140,20.0,149
185,5,1,111,78,20,1140,12.9,149
186,6,1,111,78,20,1140,86.67,189
187,7,1,111,78,20,1140,67.74,189
188,8,1,111,78,20,1140,45.16,181
189,9,1,111,78,20,1140,100.0,169
190,10,1,111,78,20,1140,93.55,169
191,11,1,111,78,20,1140,70.0,169
192,12,1,111,78,20,1140,41.94,129
193,1,1,18,99,20,1140,82.76,185
194,2,1,18,99,20,1140,0.0,185
195,3,1,18,99,20,1140,25.81,185
196,4,1,18,99,20,1140,73.33,185
197,5,1,18,99,20,1140,48.39,185
198,6,1,18,99,20,1140,76.67,185
199,7,1,18,99,20,1140,0.0,185
200,8,1,18,99,20,1140,0.0,185
201,9,1,18,99,20,1140,70.0,185
202,10,1,18,99,20,1140,58.06,185
203,11,1,18,99,20,1140,86.67,185
204,12,1,18,99,20,1140,16.13,185
205,1,1,20,97,20,1140,46.67,180
206,2,1,20,97,20,1140,78.57,230
207,3,1,20,97,20,1140,100.0,250
208,4,1,20,97,20,1140,83.33,250
209,5,1,20,97,20,1140,100.0,250
210,6,1,20,97,20,1140,96.67,225
211,7,1,20,97,20,1140,96.77,225
212,8,1,20,97,20,1140,6.45,225
213,9,1,20,97,20,1140,100.0,225
214,10,1,20,97,20,1140,100.0,225
215,11,1,20,97,20,1140,96.67,250
216,12,1,20,97,20,1140,51.61,250
217,1,1,17,97,20,1140,3.33,200
218,2,1,17,97,20,1140,0.0,200
219,3,1,17,97,20,1140,100.0,155
220,4,1,17,97,20,1140,100.0,155
221,5,1,17,97,20,1140,100.0,155
222,6,1,17,97,20,1140,73.33,140
223,7,1,17,97,20,1140,96.77,140
224,8,1,17,97,20,1140,61.29,140
225,9,1,17,97,20,1140,100.0,155
226,10,1,17,97,20,1140,64.52,155
227,11,1,17,97,20,1140,100.0,155
228,12,1,17,97,20,1140,100.0,155
229,1,1,102,95,20,1140,62.07,189
230,2,1,102,95,20,1140,21.43,120
231,3,1,102,95,20,1140,32.26,169
232,4,1,102,95,20,1140,63.33,189
233,5,1,102,95,20,1140,61.29,189
234,6,1,102,95,20,1140,56.67,189
235,7,1,102,95,20,1140,16.13,189
236,8,1,102,95,20,1140,12.9,189
237,9,1,102,95,20,1140,86.67,179
238,10,1,102,95,20,1140,93.55,215
239,11,1,102,95,20,1140,56.67,189
240,12,1,102,95,20,1140,19.35,189
241,1,1,78,92,20,1140,26.67,150
242,2,1,78,92,20,1140,21.43,160
243,3,1,78,92,20,1140,83.87,184
244,4,1,78,92,20,1140,93.33,184
245,5,1,78,92,20,1140,77.42,184
246,6,1,78,92,20,1140,100.0,184
247,7,1,78,92,20,1140,96.77,184
248,8,1,78,92,20,1140,70.97,184
249,9,1,78,92,20,1140,86.67,184
250,10,1,78,92,20,1140,96.77,184
251,11,1,78,92,20,1140,70.0,184
252,12,1,78,92,20,1140,64.52,184
253,1,1,9,96,20,1140,93.33,240
254,2,1,9,96,20,1140,96.43,240
255,3,1,9,96,20,1140,35.48,290
256,4,1,9,96,20,1140,0.0,306
257,5,1,9,96,20,1140,100.0,240
258,6,1,9,96,20,1140,46.67,240
259,7,1,9,96,20,1140,100.0,240
260,8,1,9,96,20,1140,0.0,240
261,9,1,9,96,20,1140,86.67,260
262,10,1,9,96,20,1140,100.0,240
263,11,1,9,96,20,1140,96.67,260
264,12,1,9,96,20,1140,32.26,240
265,1,1,18,98,20,1140,0.0,159
266,2,1,18,98,20,1140,0.0,157
267,3,1,18,98,20,1140,87.1,150
268,4,1,18,98,20,1140,63.33,150
269,5,1,18,98,20,1140,35.48,150
270,6,1,18,98,20,1140,100.0,150
271,7,1,18,98,20,1140,19.35,150
272,8,1,18,98,20,1140,0.0,157
273,9,1,18,98,20,1140,93.33,150
274,10,1,18,98,20,1140,96.77,150
275,11,1,18,98,20,1140,80.0,150
276,12,1,18,98,20,1140,83.87,150
277,1,1,81,96,20,1140,33.33,200
278,2,1,81,96,20,1140,60.71,255
279,3,1,81,96,20,1140,61.29,250
280,4,1,81,96,20,1140,43.33,220
281,5,1,81,96,20,1140,58.06,250
282,6,1,81,96,20,1140,53.33,245
283,7,1,81,96,20,1140,0.0,236
284,8,1,81,96,20,1140,0.0,245
285,9,1,81,96,20,1140,100.0,210
286,10,1,81,96,20,1140,100.0,210
287,11,1,81,96,20,1140,86.67,210
288,12,1,81,96,20,1140,29.03,190
289,1,1,94,90,20,1140,70.0,189
290,2,1,94,90,20,1140,46.43,125
291,3,1,94,90,20,1140,77.42,189
292,4,1,94,90,20,1140,76.67,189
293,5,1,94,90,20,1140,45.16,189
294,6,1,94,90,20,1140,63.33,189
295,7,1,94,90,20,1140,45.16,189
296,8,1,94,90,20,1140,9.68,189
297,9,1,94,90,20,1140,90.0,189
298,10,1,94,90,20,1140,93.55,189
299,11,1,94,90,20,1140,60.0,189
300,12,1,94,90,20,1140,29.03,189
301,1,1,6,90,20,1140,0.0,199
302,2,1,6,90,20,1140,14.29,199
303,3,1,6,90,20,1140,16.13,199
304,4,1,6,90,20,1140,33.33,199
305,5,1,6,90,20,1140,64.52,199
306,6,1,6,90,20,1140,96.67,239
307,7,1,6,90,20,1140,9.68,239
308,8,1,6,90,20,1140,38.71,230
309,9,1,6,90,20,1140,53.33,299
310,10,1,6,90,20,1140,87.1,299
311,11,1,6,90,20,1140,100.0,299
312,12,1,6,90,20,1140,100.0,299
313,1,1,5,90,20,1140,100.0,120
314,2,1,5,90,20,1140,0.0,120
315,3,1,5,90,20,1140,41.94,120
316,4,1,5,90,20,1140,40.0,120
317,5,1,5,90,20,1140,32.26,120
318,6,1,5,90,20,1140,100.0,150
319,7,1,5,90,20,1140,0.0,151
320,8,1,5,90,20,1140,48.39,150
321,9,1,5,90,20,1140,100.0,150
322,10,1,5,90,20,1140,100.0,150
323,11,1,5,90,20,1140,100.0,150
324,12,1,5,90,20,1140,100.0,150
325,1,1,15,90,20,1140,100.0,249
326,2,1,15,90,20,1140,0.0,213
327,3,1,15,90,20,1140,0.0,212
328,4,1,15,90,20,1140,0.0,212
329,5,1,15,90,20,1140,0.0,215
