,month,bedrooms,number_of_reviews,review_scores_rating,neighborhood,num_comp,occ%,avg_price,neighborhood2
0,1,1,57,96,Williamsburg,1248,100.0,175,71
1,2,1,57,96,Williamsburg,1248,65.52,145,71
2,3,1,57,96,Williamsburg,1248,83.87,145,71
3,4,1,57,96,Williamsburg,1248,86.67,145,71
4,5,1,57,96,Williamsburg,1248,87.1,145,71
5,6,1,57,96,Williamsburg,1248,90.0,145,71
6,7,1,57,96,Williamsburg,1248,87.1,145,71
7,8,1,57,96,Williamsburg,1248,67.74,145,71
8,9,1,57,96,Williamsburg,1248,26.67,145,71
9,10,1,57,96,Williamsburg,1248,83.87,145,71
10,11,1,57,96,Williamsburg,1248,100.0,145,71
11,12,1,57,96,Williamsburg,1248,56.67,145,71
12,1,1,272,94,Williamsburg,1248,40.0,98,71
13,2,1,272,94,Williamsburg,1248,41.38,59,71
14,3,1,272,94,Williamsburg,1248,51.61,165,71
15,4,1,272,94,Williamsburg,1248,80.0,165,71
16,5,1,272,94,Williamsburg,1248,90.32,165,71
17,6,1,272,94,Williamsburg,1248,56.67,165,71
18,7,1,272,94,Williamsburg,1248,58.06,165,71
19,8,1,272,94,Williamsburg,1248,83.87,165,71
20,9,1,272,94,Williamsburg,1248,66.67,165,71
21,10,1,272,94,Williamsburg,1248,83.87,165,71
22,11,1,272,94,Williamsburg,1248,33.33,165,71
23,12,1,272,94,Williamsburg,1248,16.13,165,71
24,1,1,152,83,Williamsburg,1248,3.23,100,71
25,2,1,152,83,Williamsburg,1248,34.48,100,71
26,3,1,152,83,Williamsburg,1248,19.35,100,71
27,4,1,152,83,Williamsburg,1248,76.67,100,71
28,5,1,152,83,Williamsburg,1248,77.42,100,71
29,6,1,152,83,Williamsburg,1248,93.33,100,71
30,7,1,152,83,Williamsburg,1248,77.42,100,71
31,8,1,152,83,Williamsburg,1248,87.1,100,71
32,9,1,152,83,Williamsburg,1248,83.33,100,71
33,10,1,152,83,Williamsburg,1248,80.65,100,71
34,11,1,152,83,Williamsburg,1248,53.33,100,71
35,12,1,152,83,Williamsburg,1248,26.67,84,71
36,1,1,259,96,Williamsburg,1248,90.0,238,71
37,2,1,259,96,Williamsburg,1248,89.66,238,71
38,3,1,259,96,Williamsburg,1248,32.26,135,71
39,4,1,259,96,Williamsburg,1248,76.67,238,71
40,5,1,259,96,Williamsburg,1248,80.65,248,71
41,6,1,259,96,Williamsburg,1248,83.33,248,71
42,7,1,259,96,Williamsburg,1248,58.06,248,71
43,8,1,259,96,Williamsburg,1248,77.42,248,71
44,9,1,259,96,Williamsburg,1248,16.67,248,71
45,10,1,259,96,Williamsburg,1248,87.1,248,71
46,11,1,259,96,Williamsburg,1248,43.33,248,71
47,12,1,259,96,Williamsburg,1248,12.9,248,71
48,1,1,167,99,Williamsburg,1248,32.26,185,71
49,2,1,167,99,Williamsburg,1248,10.34,185,71
50,3,1,167,99,Williamsburg,1248,32.26,185,71
51,4,1,167,99,Williamsburg,1248,53.33,98,71
52,5,1,167,99,Williamsburg,1248,83.87,195,71
53,6,1,167,99,Williamsburg,1248,56.67,195,71
54,7,1,167,99,Williamsburg,1248,41.94,195,71
55,8,1,167,99,Williamsburg,1248,90.32,195,71
56,9,1,167,99,Williamsburg,1248,76.67,195,71
57,10,1,167,99,Williamsburg,1248,90.32,195,71
58,11,1,167,99,Williamsburg,1248,53.33,195,71
