,neighborhood,month,bedrooms,area,sub_area,max_price,min_price,median_price,mean_price
0,Alphabet City,1,0,Manhattan,Lower Manhattan,300,65,150,158
1,Alphabet City,1,1,Manhattan,Lower Manhattan,299,90,169,169
2,Alphabet City,1,2,Manhattan,Lower Manhattan,532,90,266,279
3,Alphabet City,1,3,Manhattan,Lower Manhattan,750,150,390,418
4,Alphabet City,2,0,Manhattan,Lower Manhattan,199,80,142,139
5,Alphabet City,2,1,Manhattan,Lower Manhattan,250,75,157,159
6,Alphabet City,2,2,Manhattan,Lower Manhattan,532,95,247,265
7,Alphabet City,2,3,Manhattan,Lower Manhattan,700,150,269,356
8,Alphabet City,3,0,Manhattan,Lower Manhattan,250,130,161,170
9,Alphabet City,3,1,Manhattan,Lower Manhattan,299,99,175,173
10,Alphabet City,3,2,Manhattan,Lower Manhattan,532,128,250,270
11,Alphabet City,3,3,Manhattan,Lower Manhattan,700,355,429,480
12,Alphabet City,4,0,Manhattan,Lower Manhattan,250,135,172,178
13,Alphabet City,4,1,Manhattan,Lower Manhattan,269,85,189,183
14,Alphabet City,4,2,Manhattan,Lower Manhattan,553,144,272,300
15,Alphabet City,4,3,Manhattan,Lower Manhattan,700,299,499,487
16,Alphabet City,5,0,Manhattan,Lower Manhattan,250,135,170,178
17,Alphabet City,5,1,Manhattan,Lower Manhattan,279,94,195,193
18,Alphabet City,5,2,Manhattan,Lower Manhattan,553,144,297,309
19,Alphabet City,5,3,Manhattan,Lower Manhattan,800,299,499,493
20,Alphabet City,6,0,Manhattan,Lower Manhattan,200,152,175,173
21,Alphabet City,6,1,Manhattan,Lower Manhattan,279,99,195,191
22,Alphabet City,6,2,Manhattan,Lower Manhattan,553,128,297,306
23,Alphabet City,6,3,Manhattan,Lower Manhattan,800,299,499,495
24,Alphabet City,7,0,Manhattan,Lower Manhattan,275,150,161,182
25,Alphabet City,7,1,Manhattan,Lower Manhattan,300,116,190,190
26,Alphabet City,7,2,Manhattan,Lower Manhattan,553,144,270,297
27,Alphabet City,7,3,Manhattan,Lower Manhattan,789,299,459,475
28,Alphabet City,8,0,Manhattan,Lower Manhattan,250,150,160,175
29,Alphabet City,8,1,Manhattan,Lower Manhattan,300,121,189,190
30,Alphabet City,8,2,Manhattan,Lower Manhattan,553,144,260,289
31,Alphabet City,8,3,Manhattan,Lower Manhattan,789,299,518,524
32,Alphabet City,9,0,Manhattan,Lower Manhattan,275,150,159,177
33,Alphabet City,9,1,Manhattan,Lower Manhattan,344,110,190,190
34,Alphabet City,9,2,Manhattan,Lower Manhattan,553,144,255,280
35,Alphabet City,9,3,Manhattan,Lower Manhattan,789,299,484,500
36,Alphabet City,10,0,Manhattan,Lower Manhattan,250,129,168,176
37,Alphabet City,10,1,Manhattan,Lower Manhattan,348,99,195,195
38,Alphabet City,10,2,Manhattan,Lower Manhattan,553,128,270,293
39,Alphabet City,10,3,Manhattan,Lower Manhattan,789,299,474,510
40,Alphabet City,11,0,Manhattan,Lower Manhattan,250,129,160,167
41,Alphabet City,11,1,Manhattan,Lower Manhattan,348,80,189,184
42,Alphabet City,11,2,Manhattan,Lower Manhattan,553,128,262,284
43,Alphabet City,11,3,Manhattan,Lower Manhattan,789,244,354,449
44,Alphabet City,12,0,Manhattan,Lower Manhattan,289,130,160,177
45,Alphabet City,12,1,Manhattan,Lower Manhattan,330,99,191,189
46,Alphabet City,12,2,Manhattan,Lower Manhattan,599,128,270,300
47,Alphabet City,12,3,Manhattan,Lower Manhattan,789,299,474,506
48,Battery Park City,1,1,Manhattan,Lower Manhattan,300,175,238,238
49,Battery Park City,1,2,Manhattan,Lower Manhattan,249,249,249,249
50,Battery Park City,2,1,Manhattan,Lower Manhattan,300,300,300,300
51,Battery Park City,2,2,Manhattan,Lower Manhattan,205,205,205,205
52,Battery Park City,3,1,Manhattan,Lower Manhattan,300,300,300,300
53,Battery Park City,3,2,Manhattan,Lower Manhattan,215,215,215,215
54,Battery Park City,4,1,Manhattan,Lower Manhattan,300,300,300,300
55,Battery Park City,4,2,Manhattan,Lower Manhattan,290,290,290,290
56,Battery Park City,5,1,Manhattan,Lower Manhattan,350,175,262,262
57,Battery Park City,5,2,Manhattan,Lower Manhattan,290,290,290,290
58,Battery Park City,6,1,Manhattan,Lower Manhattan,350,175,262,262
59,Battery Park City,6,2,Manhattan,Lower Manhattan,290,290,290,290
60,Battery Park City,7,1,Manhattan,Lower Manhattan,350,350,350,350
61,Battery Park City,7,2,Manhattan,Lower Manhattan,290,290,290,290
62,Battery Park City,8,1,Manhattan,Lower Manhattan,350,350,350,350
63,Battery Park City,8,2,Manhattan,Lower Manhattan,290,290,290,290
64,Battery Park City,9,1,Manhattan,Lower Manhattan,350,350,350,350
65,Battery Park City,9,2,Manhattan,Lower Manhattan,145,145,145,145
66,Battery Park City,10,1,Manhattan,Lower Manhattan,325,325,325,325
67,Battery Park City,10,2,Manhattan,Lower Manhattan,290,290,290,290
68,Battery Park City,11,1,Manhattan,Lower Manhattan,283,175,229,229
69,Battery Park City,11,2,Manhattan,Lower Manhattan,290,290,290,290
70,Battery Park City,12,1,Manhattan,Lower Manhattan,340,175,258,258
71,Battery Park City,12,2,Manhattan,Lower Manhattan,290,290,290,290
72,Bay Ridge,1,0,Brooklyn,Brooklyn,90,71,80,80
73,Bay Ridge,1,1,Brooklyn,Brooklyn,180,85,115,124
74,Bay Ridge,1,3,Brooklyn,Brooklyn,179,109,144,144
75,Bay Ridge,2,0,Brooklyn,Brooklyn,90,71,80,80
76,Bay Ridge,2,1,Brooklyn,Brooklyn,180,85,125,126
77,Bay Ridge,2,3,Brooklyn,Brooklyn,109,99,104,104
78,Bay Ridge,3,0,Brooklyn,Brooklyn,90,71,80,80
79,Bay Ridge,3,1,Brooklyn,Brooklyn,180,85,110,120
80,Bay Ridge,3,3,Brooklyn,Brooklyn,169,109,139,139
81,Bay Ridge,4,0,Brooklyn,Brooklyn,110,71,90,90
82,Bay Ridge,4,1,Brooklyn,Brooklyn,180,99,125,129
83,Bay Ridge,4,3,Brooklyn,Brooklyn,299,135,217,217
84,Bay Ridge,5,0,Brooklyn,Brooklyn,110,71,90,90
85,Bay Ridge,5,1,Brooklyn,Brooklyn,180,99,125,129
86,Bay Ridge,5,3,Brooklyn,Brooklyn,299,135,217,217
87,Bay Ridge,6,0,Brooklyn,Brooklyn,100,71,86,86
88,Bay Ridge,6,1,Brooklyn,Brooklyn,170,99,125,125
89,Bay Ridge,6,3,Brooklyn,Brooklyn,299,135,217,217
90,Bay Ridge,7,0,Brooklyn,Brooklyn,110,71,90,90
91,Bay Ridge,7,1,Brooklyn,Brooklyn,170,80,125,121
92,Bay Ridge,7,3,Brooklyn,Brooklyn,189,135,162,162
93,Bay Ridge,8,0,Brooklyn,Brooklyn,104,71,88,88
94,Bay Ridge,8,1,Brooklyn,Brooklyn,170,80,104,116
95,Bay Ridge,8,3,Brooklyn,Brooklyn,199,135,167,167
96,Bay Ridge,9,0,Brooklyn,Brooklyn,104,71,88,88
97,Bay Ridge,9,1,Brooklyn,Brooklyn,130,80,99,104
98,Bay Ridge,9,3,Brooklyn,Brooklyn,235,135,185,185
99,Bay Ridge,10,0,Brooklyn,Brooklyn,95,71,83,83
100,Bay Ridge,10,1,Brooklyn,Brooklyn,170,90,110,119
101,Bay Ridge,10,3,Brooklyn,Brooklyn,299,129,214,214
102,Bay Ridge,11,0,Brooklyn,Brooklyn,84,71,78,78
103,Bay Ridge,11,1,Brooklyn,Brooklyn,170,90,99,114
104,Bay Ridge,11,3,Brooklyn,Brooklyn,299,129,214,214
105,Bay Ridge,12,0,Brooklyn,Brooklyn,100,71,86,86
106,Bay Ridge,12,1,Brooklyn,Brooklyn,170,90,125,123
107,Bay Ridge,12,3,Brooklyn,Brooklyn,236,129,182,182
108,Bedford-Stuyvesant,1,0,Brooklyn,Brooklyn,135,57,94,95
109,Bedford-Stuyvesant,1,1,Brooklyn,Brooklyn,300,51,110,110
110,Bedford-Stuyvesant,1,2,Brooklyn,Brooklyn,241,85,130,137
111,Bedford-Stuyvesant,1,3,Brooklyn,Brooklyn,397,92,176,186
112,Bedford-Stuyvesant,1,4,Brooklyn,Brooklyn,257,145,210,206
113,Bedford-Stuyvesant,2,0,Brooklyn,Brooklyn,322,60,92,115
114,Bedford-Stuyvesant,2,1,Brooklyn,Brooklyn,300,54,110,110
115,Bedford-Stuyvesant,2,2,Brooklyn,Brooklyn,235,85,140,141
116,Bedford-Stuyvesant,2,3,Brooklyn,Brooklyn,397,85,180,189
117,Bedford-Stuyvesant,2,4,Brooklyn,Brooklyn,260,150,230,218
118,Bedford-Stuyvesant,3,0,Brooklyn,Brooklyn,135,65,95,98
119,Bedford-Stuyvesant,3,1,Brooklyn,Brooklyn,300,65,115,118
120,Bedford-Stuyvesant,3,2,Brooklyn,Brooklyn,255,85,140,146
121,Bedford-Stuyvesant,3,3,Brooklyn,Brooklyn,397,85,186,199
122,Bedford-Stuyvesant,3,4,Brooklyn,Brooklyn,275,225,252,251
123,Bedford-Stuyvesant,4,0,Brooklyn,Brooklyn,321,79,99,119
124,Bedford-Stuyvesant,4,1,Brooklyn,Brooklyn,300,62,123,126
125,Bedford-Stuyvesant,4,2,Brooklyn,Brooklyn,368,88,155,162
126,Bedford-Stuyvesant,4,3,Brooklyn,Brooklyn,417,85,188,204
127,Bedford-Stuyvesant,4,4,Brooklyn,Brooklyn,425,199,252,282
128,Bedford-Stuyvesant,5,0,Brooklyn,Brooklyn,280,79,95,113
129,Bedford-Stuyvesant,5,1,Brooklyn,Brooklyn,300,55,120,126
130,Bedford-Stuyvesant,5,2,Brooklyn,Brooklyn,300,89,159,162
131,Bedford-Stuyvesant,5,3,Brooklyn,Brooklyn,417,85,184,204
132,Bedford-Stuyvesant,5,4,Brooklyn,Brooklyn,400,199,252,276
133,Bedford-Stuyvesant,6,0,Brooklyn,Brooklyn,135,79,95,100
134,Bedford-Stuyvesant,6,1,Brooklyn,Brooklyn,300,62,125,126
135,Bedford-Stuyvesant,6,2,Brooklyn,Brooklyn,300,89,159,160
136,Bedford-Stuyvesant,6,3,Brooklyn,Brooklyn,417,85,187,204
137,Bedford-Stuyvesant,6,4,Brooklyn,Brooklyn,400,199,252,276
138,Bedford-Stuyvesant,7,0,Brooklyn,Brooklyn,310,79,99,120
139,Bedford-Stuyvesant,7,1,Brooklyn,Brooklyn,300,62,122,125
140,Bedford-Stuyvesant,7,2,Brooklyn,Brooklyn,300,90,160,161
141,Bedford-Stuyvesant,7,3,Brooklyn,Brooklyn,417,85,194,208
142,Bedford-Stuyvesant,7,4,Brooklyn,Brooklyn,450,199,260,292
143,Bedford-Stuyvesant,8,0,Brooklyn,Brooklyn,310,79,99,121
144,Bedford-Stuyvesant,8,1,Brooklyn,Brooklyn,283,62,124,125
145,Bedford-Stuyvesant,8,2,Brooklyn,Brooklyn,300,90,159,160
146,Bedford-Stuyvesant,8,3,Brooklyn,Brooklyn,417,107,189,207
147,Bedford-Stuyvesant,8,4,Brooklyn,Brooklyn,450,199,322,324
148,Bedford-Stuyvesant,9,0,Brooklyn,Brooklyn,135,79,99,106
149,Bedford-Stuyvesant,9,1,Brooklyn,Brooklyn,308,62,120,124
150,Bedford-Stuyvesant,9,2,Brooklyn,Brooklyn,300,88,155,157
151,Bedford-Stuyvesant,9,3,Brooklyn,Brooklyn,417,107,195,208
152,Bedford-Stuyvesant,9,4,Brooklyn,Brooklyn,450,199,310,317
153,Bedford-Stuyvesant,10,0,Brooklyn,Brooklyn,215,79,99,110
154,Bedford-Stuyvesant,10,1,Brooklyn,Brooklyn,291,71,124,124
155,Bedford-Stuyvesant,10,2,Brooklyn,Brooklyn,290,89,155,157
156,Bedford-Stuyvesant,10,3,Brooklyn,Brooklyn,350,107,187,202
157,Bedford-Stuyvesant,10,4,Brooklyn,Brooklyn,375,199,252,269
158,Bedford-Stuyvesant,11,0,Brooklyn,Brooklyn,215,57,99,109
159,Bedford-Stuyvesant,11,1,Brooklyn,Brooklyn,291,54,120,121
160,Bedford-Stuyvesant,11,2,Brooklyn,Brooklyn,250,88,150,150
161,Bedford-Stuyvesant,11,3,Brooklyn,Brooklyn,325,98,180,194
162,Bedford-Stuyvesant,11,4,Brooklyn,Brooklyn,375,122,209,229
163,Bedford-Stuyvesant,12,0,Brooklyn,Brooklyn,215,79,95,108
164,Bedford-Stuyvesant,12,1,Brooklyn,Brooklyn,291,71,120,123
165,Bedford-Stuyvesant,12,2,Brooklyn,Brooklyn,290,89,150,155
166,Bedford-Stuyvesant,12,3,Brooklyn,Brooklyn,350,107,187,198
167,Bedford-Stuyvesant,12,4,Brooklyn,Brooklyn,450,199,279,302
168,Bensonhurst,1,1,Brooklyn,Brooklyn,110,61,78,83
169,Bensonhurst,1,2,Brooklyn,Brooklyn,114,114,114,114
170,Bensonhurst,2,1,Brooklyn,Brooklyn,110,60,69,80
171,Bensonhurst,2,2,Brooklyn,Brooklyn,113,113,113,113
172,Bensonhurst,3,1,Brooklyn,Brooklyn,110,67,78,85
173,Bensonhurst,3,2,Brooklyn,Brooklyn,145,145,145,145
174,Bensonhurst,4,1,Brooklyn,Brooklyn,110,68,78,85
175,Bensonhurst,4,2,Brooklyn,Brooklyn,169,169,169,169
176,Bensonhurst,5,1,Brooklyn,Brooklyn,110,78,99,96
177,Bensonhurst,5,2,Brooklyn,Brooklyn,169,169,169,169
178,Bensonhurst,6,1,Brooklyn,Brooklyn,99,70,78,82
179,Bensonhurst,6,2,Brooklyn,Brooklyn,169,169,169,169
180,Bensonhurst,7,1,Brooklyn,Brooklyn,110,78,99,96
181,Bensonhurst,7,2,Brooklyn,Brooklyn,169,169,169,169
182,Bensonhurst,8,1,Brooklyn,Brooklyn,110,78,103,97
183,Bensonhurst,8,2,Brooklyn,Brooklyn,169,169,169,169
184,Bensonhurst,9,1,Brooklyn,Brooklyn,110,78,100,96
185,Bensonhurst,9,2,Brooklyn,Brooklyn,169,169,169,169
186,Bensonhurst,10,1,Brooklyn,Brooklyn,110,66,78,85
187,Bensonhurst,10,2,Brooklyn,Brooklyn,169,169,169,169
188,Bensonhurst,11,1,Brooklyn,Brooklyn,110,66,78,85
189,Bensonhurst,11,2,Brooklyn,Brooklyn,169,169,169,169
190,Bensonhurst,12,1,Brooklyn,Brooklyn,110,66,78,85
